centre_id,centre_slug,siret,n_pros_rpps,pros_rpps_list
"8eaef937-8e52-4439-92e0-4491a7133211","audika-yutz-9079","30889577009079","2","10009339838:PASCALE CLERGET-COLLIN | 10008646852:AURELIE ENGELDINGER MAGNIEN"
"cd765008-342e-4f01-a9df-4255b2388e54","audition-sante-saint-junien-5461","42322891505461","2","10009672444:DELPHINE BAILLOEUL | 10009714774:SADAF GHAFOORI"
"410951ca-4cbc-4a7c-acb7-503f99d5b0c0","audilab-montbazon-0271","43925181000271","2","10009137521:MYRIAM PERROUIN | 10009166066:GARANCE BECHET"
"7ab1c12b-dee0-4af4-9821-153e460337ef","entendre-thaon-les-vosges-0040","87794090800040","2","10009426312:CELIA LACROIX | 10008650086:AUDREY CALETTI"
"fd532589-baac-47b3-aa45-6292bf459eba","entendre-haguenau-0022","93814226200022","2","10009366021:PASCAL QUINIOU | 10111949391:Maëline DALLA-STELLA"
"2f97530a-601c-4c95-b4e3-75654c0ff720","audition-conseil-paris-0032","99101135400032","2","10008806498:LUIS GODINHO | 10009032821:ANGELE RAYSSIGUIER"
"02d299be-5144-4b4d-a14c-eb86cb4f8404","audition-beaujolaise-gleize-0021","89934354500021","2","10008797572:HUGO BLANCHET | 10008614777:MARGAUX BLANCHET"
"928b428e-edda-4134-bf99-4180c4312f14","entendre-villaines-la-juhel-0025","78942720000025","2","10008679101:OMBELINE BRULON | 10111621164:Laura RONCERAY"
"d5b6870d-a8e2-49cd-8069-21ad08ccf13e","cca-amplifon-bergerac-2354","31808311012354","2","10009613661:JEREMY ECALARD | 10111602263:Faustine HAMET"
"c96bef0f-de72-4869-93f7-3ae0c1828332","leon-vision-et-audition-salaise-sur-sanne-0022","92841541300022","2","10008760463:DIDIER LUXIN | 10008560889:EDDY BOUZIANE"
"8d264263-db27-472b-b1f0-a192ddf122e1","ecouter-voir-audition-mutualiste-nantes-nantes-3597","84487901503597","2","10008636325:AURELIEN BRIFFAUD | 10110404059:Arthur PERROTIN"
"3d2e353a-71c8-4710-8cd1-07be374bb778","ecouter-voir-audition-poitiers-ecoles-poitiers-1384","77571667301384","2","10009567149:VANESSA TOUBON | 10111636311:Lahna MADENE"
"00dcec77-a83b-41f5-bea0-2d1fb65560cf","audika-les-sables-d-olonne-9475","30889577009475","2","10009489245:ADELIE CHARON | 10009438309:GUILLAUME RAVEAU"
"dc137519-8392-41b1-a080-f14a5d40fe97","cca-amplifon-guipavas-2255","31808311012255","3","10009337808:MELANIE DAVID | 10009499012:GOULVEN LEON | 10008577826:NATACHA BONNEYRAT"
"169c2498-c88a-4d27-a59a-2573c0d5e841","albertgroop-audition-rambouillet-rambouillet-0014","94022847100014","2","10009012401:LUCILLE CABEAU | 10009714576:Elsa FHAL"
"09125a03-fd8b-4814-ac44-293d377bbc7b","nouvelle-ecoute-melle-0027","83089227900027","2","10009568584:SEVERINE JOURDAIN | 10008701301:LAURENT JOURDAIN"
"4ead104d-20ba-4c6a-be32-b839287fe816","vyv3-sud-est-colombiers-0877","51261178100877","2","10009716548:JEAN-BAPTISTE MANGIARACINA | 10009934661:DAVID SIMONNEAU"
"cb59895b-e3e3-4161-9a9f-efccf403853c","lasol-saujon-saujon-0018","94068483000018","2","10008732983:MANON THIZY | 10009691345:ALEXANDRE MATRAT"
"07985b20-8cde-4e98-b9da-d39e950e3c48","otolab-la-solution-pour-votre-audition-marseille-0013","94198747100013","2","10111809561:Hugo VENTURELLI | 10010065109:AUDREY ROCHE"
"1d93b4d4-8838-4a0b-b3ae-a97f2db514f3","ma-clinique-audio-3-saint-raphael-0012","98980280600012","2","10008637554:ROMANE DEMULLIER | 10008744343:ANTOINE SENE"
"88b1a5f2-a45e-48df-a332-d228a1554dfd","dom-audio-paris-0028","93072423200028","2","10008526146:EVA LASCAR | 10111731898:Elsa BERDAH"
"46c906a7-1cc6-4bd6-8d9d-fdcbb2c25584","hm2a-audition-charlieu-0011","93876525200011","2","10008587015:AMAURY MONTIEL | 10008772542:MATHILDE BEAUPERTUIT"
"4fe7b6ac-8971-4288-876d-cc5bf2c66b67","label-oreille-paris-0024","93493862200024","2","10008555087:SACHA ELKAIM | 10009073023:LAURENE BALOUL"
"826b2906-9715-4549-a813-07fa7445a9df","audition-challeton-tours-0020","94514868200020","2","10008521022:BASTIEN CHALLETON | 10008538117:LAURA PORCHER"
"a1e0521e-bd02-4181-bb0f-a13a8c6a760a","ma-clinique-audio-2-la-garde-0028","94230317300028","2","10111638788:Maël LASERRE | 10008699307:JOSSELIN GUILLAUME"
"1a74fce2-33a9-4765-a04d-4a9a94bc67bc","grand-audition-quincy-sous-senart-0022","98150902900022","2","10009056275:OPHELIE CAILLOU | 10008446246:GUILLAUME CAILLOU"
"b928af22-f80d-457d-b388-baca51e3f950","novea-audition-bordeaux-0012","94057990700012","2","10008713959:FRANCOIS DALAVAT | 10111839980:Céline TOURDES"
"d04d17f8-a3cf-4206-bd8d-1ed948af40d7","audition-jean-rouquet-vaugneray-0060","50878545800060","2","10111622832:Camille EYMIN | 10009799361:LAETITIA JOUFFREY"
"4de74077-0031-4e87-97b7-d9ad00959d9a","vivason-hyeres-0022","93748676900022","2","10008482951:LAURE GEFFRAY | 10111674940:Marie GUIDI"